,word1,word2,freq
281,사포닌,처리,4
282,도효,흡수,4
283,구매,흡수,4
284,사포닌,지용성,4
285,사포닌,제품,4
286,단전,사포닌,4
287,사포닌,제조,4
288,변환,흡수,4
289,마일드,문혜원,4
290,별도,비타민,4
291,금지,비타민,4
292,학회지,흡수,4
293,마일드,미생물,4
294,사포닌,최대,4
295,소양,흡수,4
296,보존료,비타민,4
297,보존료,사포닌,4
298,식물,흡수,4
299,사포닌,진세,4
300,별도,사포닌,4
301,단전,비타민,4
302,사포닌,차이,4
303,금지,마일드,4
304,사포닌,초미세,4
305,일반,흡수,4
306,감미료,마일드,4
307,사포닌,체내,4
308,효소,흡수,4
309,감미료,흡수,4
310,분자,사포닌,4
311,사포닌,스틱,4
312,대상,비타민,4
313,사포닌,시설,4
314,관리,흡수,4
315,제조,흡수,4
316,사포닌,식물,4
317,사포닌,식품,4
318,관심,마일드,4
319,대상,마일드,4
320,단전,흡수,4
321,사포닌,실시,4
322,성분,흡수,4
323,생산,흡수,4
324,경우,마일드,4
325,관심,비타민,4
326,사포닌,소화,4
327,사포닌,소포제,4
328,분자,흡수,4
329,사포닌,세포,4
330,분해,흡수,4
331,사포닌,세계,4
332,공법,흡수,4
333,경우,비타민,4
334,관리,마일드,4
335,지용성,흡수,4
336,관리,비타민,4
337,분해,비타민,4
338,관리,사포닌,4
339,프로모션,흡수,4
340,제품,흡수,4
341,사포닌,소비자,4
342,분해,사포닌,4
343,사포닌,소양,4
344,관심,사포닌,4
345,분자,비타민,4
346,자료,흡수,4
347,분쇄,흡수,4
348,관심,흡수,4
349,사포닌,자료,4
350,구매,마일드,4
351,세포,흡수,4
352,사포닌,최종,4
353,감미료,경제,4
354,사포닌,점제,4
355,구매,비타민,4
356,복합,사포닌,4
357,구매,사포닌,4
358,복합,비타민,4
359,보존료,흡수,4
360,사포닌,제공,4
361,아시아,흡수,4
362,경우,경제,4
363,사포닌,일반,4
364,사포닌,인컴,4
365,사포닌,인증,4
366,프린트,흡수,4
367,사포닌,아시아,4
368,제공,흡수,4
369,사포닌,안심,4
370,사포닌,안전,4
371,사포닌,영양,4
372,향료,흡수,4
373,사포닌,용량,4
374,점제,흡수,4
375,세계,흡수,4
376,분쇄,사포닌,4
377,사포닌,유통,4
378,분쇄,비타민,4
379,복합,흡수,4
380,사포닌,인공,4
381,마일드,반영,4
382,마일드,세계,4
383,마일드,발효,4
384,마일드,배포,4
385,사포닌,향료,4
386,마일드,할인,4
387,기간,흡수,4
388,마일드,함유,4
389,안전,흡수,4
390,한국인,흡수,4
391,마일드,핵심,4
392,마일드,행사,4
393,기사,마일드,4
394,사포닌,형태,4
395,마일드,향료,4
396,소화,흡수,4
397,마일드,형태,4
398,기사,비타민,4
399,기사,사포닌,4
400,마일드,한국인,4
401,사포닌,행사,4
402,마일드,한국,4
403,마일드,프린트,4
404,사포닌,한국,4
405,사포닌,한국인,4
406,핵심,흡수,4
407,다음,사포닌,4
408,소포제,흡수,4
409,마일드,프로모션,4
410,배포,사포닌,4
411,마일드,학회지,4
412,배포,비타민,4
413,사포닌,할인,4
414,사포닌,함유,4
415,발효,흡수,4
416,다음,비타민,4
417,사포닌,핵심,4
418,다음,마일드,4
419,발효,사포닌,4
420,발효,비타민,4
421,용량,흡수,4
422,할인,흡수,4
423,문혜원,비타민,4
424,문혜원,사포닌,4
425,시설,흡수,4
426,미생물,사포닌,4
427,미생물,비타민,4
428,문혜원,흡수,4
429,기한,사포닌,4
430,함유,흡수,4
431,영양,흡수,4
432,기한,흡수,4
433,나머지,마일드,4
434,감미료,사포닌,4
435,나머지,비타민,4
436,미생물,흡수,4
437,기한,비타민,4
438,마일드,혜택,4
439,마일드,흡수,4
440,반영,흡수,4
441,사포닌,혜택,4
442,마일드,효소,4
443,나머지,흡수,4
444,사포닌,효소,4
445,사포닌,흡수,4
446,감미료,비타민,4
447,선물,흡수,4
448,기사,흡수,4
449,스틱,흡수,4
450,기한,마일드,4
451,반영,사포닌,4
452,반영,비타민,4
453,유통,흡수,4
454,마일드,특징,4
455,인공,흡수,4
456,사포닌,학회지,4
457,마일드,소포제,4
458,마일드,섭취,4
459,마일드,성분,4
460,비타민,사이드,4
